"","uid","namedLocation","plotType","sampleID","sampleCode","collectDate","lmaSampleID","lmaSampleCode","lmaSampleCondition","tissueDescriptor","scanDate","scannedBy","freshMass","ovenStartDate","ovenEndDate","dryMass","weighedBy","scannedLeafNumber","leafArea","percentGreen","leafMassPerArea","dryMassFraction","measuredBy","remarks","dataQF","publicationDate","release"
"1","192f6eaf-a5d5-4610-9503-0dfed4e1474c","SRER_047.basePlot.cfc","tower","jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpFenw1hIgzeg=","A00000279758",2021-08-17 15:22:00,"jf4sOIyMYqw268AUri/Z9VaZEjBaK/TpBw0uEgR7TAuOXHm+yHqYVA==",NA,"OK","leaf",2021-08-19 00:28:00,"0000-0002-3695-3837",0.763,2021-08-19 00:30:00,2021-08-23 21:17:00,0.267,"0000-0003-3879-1971",74,3271,100,81.7,0.35,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"2","9c7c4e92-3fd5-4806-ad2f-ab5413ad7f95","SRER_047.basePlot.cfc","tower","jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJB6Ci1OTBR5A=","A00000279759",2021-08-17 16:46:00,"jf4sOIyMYqw268AUri/Z9XMKUwNVTYyJfeLmHsYSYPEk/viJB90eZA==",NA,"OK","leaf",2021-08-19 00:08:00,"0000-0002-3695-3837",0.683,2021-08-19,2021-08-23 21:17:00,0.267,"0000-0003-3879-1971",55,3660,100,73,0.391,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"3","d1fd87b4-429a-427e-8de0-cc1d5b06c4b1","SRER_045.basePlot.cfc","tower","jf4sOIyMYqxBbpNkmDSys/+giwkirbfKwrr/J7eB5Jk=","A00000279766",2021-08-17 17:46:00,"jf4sOIyMYqxBbpNkmDSys/+giwkirbfKrJXlbiW+K/0htfMRdS8DsQ==",NA,"OK","leaf",2021-08-18 23:53:00,"0000-0002-3695-3837",1.488,2021-08-19,2021-08-23 21:17:00,0.562,"0000-0003-3879-1971",33,6327,100,88.8,0.378,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"4","cdce18e4-16f7-4950-8954-e59f980015e4","SRER_058.basePlot.cfc","tower","jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS8uiq/gpGl+os=","A00000279896",2021-08-17 18:24:00,"jf4sOIyMYqwbEPKhqIXrvHGfy5FxTMS88Z1rY7xxBQA=",NA,"OK","leaf",2021-08-18 23:38:00,"0000-0002-3695-3837",1.042,2021-08-19,2021-08-23 21:17:00,0.451,"0000-0003-3879-1971",58,4491,100,100.5,0.433,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"5","9602b8b0-f8f9-4920-a2b3-c6e56d3f8a28","SRER_002.basePlot.cfc","distributed","jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKaggPobynB6Q=","A00000279747",2021-08-18 16:14:00,"jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKzLvZygKkejsTIMPAOl6o6w==",NA,"OK","leaf",2021-08-18 22:54:00,"0000-0002-3695-3837",0.73,2021-08-19,2021-08-23 21:17:00,0.407,"0000-0003-3879-1971",65,6393,100,63.6,0.557,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"6","375aa8d7-20a4-4ac4-8785-97e7e48aba7b","SRER_002.basePlot.cfc","distributed","jf4sOIyMYqwVxe5c4Fd1ygQZ4hNhshRIE4GQrKE+t74=","A00000279887",2021-08-18 16:58:00,"jf4sOIyMYqwVxe5c4Fd1ygQZ4hNhshRIuG4w51s+Pns=",NA,"OK","leaf",2021-08-18 22:32:00,"0000-0002-3695-3837",1.432,2021-08-19,2021-08-23 21:17:00,0.355,"0000-0003-3879-1971",45,5717,100,62.1,0.248,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"7","0fd81177-66ed-454a-b3f2-422e60a8db4d","SRER_002.basePlot.cfc","distributed","jf4sOIyMYqxdyL0XwKLMSZ9IkxmNUHal6KSBbdulf6M=","A00000279750",2021-08-18 17:40:00,"jf4sOIyMYqxdyL0XwKLMSZ9IkxmNUHalpoFIlVAraUw=",NA,"OK","leaf",2021-08-18 23:29:00,"0000-0002-3695-3837",2.108,2021-08-19,2021-08-23 21:17:00,1.113,"0000-0003-3879-1971",14,9260,99,120.1,0.528,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"8","daa1053c-90a9-4316-bf3b-e1eac68cb3bc","SRER_006.basePlot.cfc","distributed","jf4sOIyMYqy/4wkyZKATbpcA8btE7eSdZmm0fQFqCEI=","A00000279751",2021-08-19 16:03:00,"jf4sOIyMYqy/4wkyZKATbpcA8btE7eSdlbj3DG0A3gc=",NA,"OK","leaf",2021-08-23 21:07:00,"0000-0001-5980-6082",1.535,2021-08-23 21:14:00,2021-08-25 22:25:00,0.774,"0000-0003-3879-1971",29,6133,99,126.2,0.504,"0000-0002-6694-2717",NA,NA,"20240104T230557Z","RELEASE-2024"
"9","2880102b-cd44-4a00-a262-a1712cf3fffb","SRER_006.basePlot.cfc","distributed","jf4sOIyMYqxqeekqhgoxM61l4eLbkTd+g9s4RQFZ5qM=","A00000279748",2021-08-19 16:44:00,"jf4sOIyMYqxqeekqhgoxM61l4eLbkTd+0xI5NhRXW6ssRcuD8+IKVA==",NA,"OK","leaf",2021-08-23 20:41:00,"0000-0001-5980-6082",0.604,2021-08-23 21:14:00,2021-08-25 22:25:00,0.324,"0000-0003-3879-1971",76,2735,100,118.5,0.536,"0000-0002-6694-2717",NA,NA,"20240104T230557Z","RELEASE-2024"
"10","6ca3df5a-214f-4f41-8606-c10eed12877f","SRER_006.basePlot.cfc","distributed","jf4sOIyMYqx6WrAE2n7QNdbMY3sEN7tn1uyga746RfI=","A00000279892",2021-08-19 17:34:00,"jf4sOIyMYqx6WrAE2n7QNdbMY3sEN7tnCXskj6a5GWViVLuUaXPQbA==",NA,"OK","leaf",2021-08-23 20:50:00,"0000-0001-5980-6082",1.318,2021-08-23 21:14:00,2021-08-25 22:25:00,0.383,"0000-0003-3879-1971",27,3991,100,96,0.291,"0000-0002-6694-2717",NA,NA,"20240104T230557Z","RELEASE-2024"
"11","41b1fa4f-b15b-4343-a372-85b4bb771566","SRER_003.basePlot.cfc","distributed","jf4sOIyMYqxtK6NJ70WgOKezBCAQSNDzPBkrPRbNJ98=","A00000279895",2021-08-23 15:14:00,"jf4sOIyMYqxtK6NJ70WgOKezBCAQSNDz7RgU0W4k/pE=",NA,"OK","photosynthetic stem",2021-08-24 21:30:00,"0000-0001-5980-6082",2.864,2021-08-25 22:25:00,2021-08-31 21:10:00,1.751,"0000-0001-5980-6082",7,2457,96,712.7,0.611,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"12","051cda2e-0c86-4868-a5e6-02672554d5df","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqyjZ9X7sKVR9WbW9tfoIlNgluZuqN3i2yk=","A00000279770",2021-08-23 15:35:00,"jf4sOIyMYqyjZ9X7sKVR9WbW9tfoIlNg2CoUgdITmUKr+0kxAIC1Xg==",NA,"OK","leaf",2021-08-25 17:48:00,"0000-0001-5980-6082",0.96,2021-08-25 22:25:00,2021-08-31 21:10:00,0.394,"0000-0001-5980-6082",16,2157,100,182.7,0.41,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"13","91022092-6a91-4ded-be7b-bda87ec58871","SRER_003.basePlot.cfc","distributed","jf4sOIyMYqwChBBhHdmN/wScOWPDeljSx5v5Km1oBmE=","A00000279752",2021-08-23 15:46:00,"jf4sOIyMYqwChBBhHdmN/wScOWPDeljSSxv2sJc3Lns=",NA,"OK","leaf",2021-08-24 21:50:00,"0000-0001-5980-6082",2.048,2021-08-25 22:25:00,2021-08-31 21:10:00,1.027,"0000-0001-5980-6082",12,8461,100,121.4,0.501,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"14","822b69da-a2ce-437b-86e9-000453805625","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqwTQkxTxQGMl28vT/y90y3vGPWp7M9YaVU=","A00000279886",2021-08-23 16:06:00,"jf4sOIyMYqwTQkxTxQGMl28vT/y90y3vEI0/N7MvljwlVU/smCWoOA==",NA,"OK","leaf",2021-08-24 21:09:00,"0000-0001-5980-6082",1.586,2021-08-25 22:25:00,2021-08-31 21:10:00,0.449,"0000-0001-5980-6082",18,5506,99,81.5,0.283,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"15","24863f41-adbc-4e5c-a13e-29c22390a228","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqyjZ9X7sKVR9U623BPgOeXOl4iPotUNw4w=","A00000279771",2021-08-23 16:35:00,"jf4sOIyMYqyjZ9X7sKVR9U623BPgOeXOr18IFB+2Oo/GxLv2HXD/mw==",NA,"OK","leaf",2021-08-25 18:02:00,"0000-0001-5980-6082",1.434,2021-08-25 22:25:00,2021-08-31 21:10:00,0.504,"0000-0003-3879-1971",8,3094,100,162.9,0.351,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"16","48fe252d-3002-44b6-88dc-157e31e4415a","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqyHHfxnzFnK7vbsreNOK3iDPT05w3J3eNM=","A00000279711",2021-08-23 16:52:00,"jf4sOIyMYqyHHfxnzFnK7vbsreNOK3iD2uSpQt1UBlY=",NA,"OK","photosynthetic stem",2021-08-24 21:57:00,"0000-0001-5980-6082",33.956,2021-08-25 22:25:00,2021-10-25 19:00:00,4.916,"0000-0001-5980-6082",1,3495,97,1406.6,0.145,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"17","73407ff5-9a13-4faa-a8cf-a06c2810607c","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqx6wVGq6P1DjblFVlArBUH/SZYkuqpjvdk=","A00000279773",2021-08-23 17:07:00,"jf4sOIyMYqx6wVGq6P1DjblFVlArBUH/par4IIPZfj5ak70b3WsJHQ==",NA,"OK","leaf",2021-08-25 18:13:00,"0000-0001-5980-6082",0.994,2021-08-25 22:25:00,2021-08-31 21:10:00,0.26,"0000-0001-5980-6082",16,4340,93,59.9,0.262,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"18","c6431bc2-da40-41f2-8878-5db4ac3d0b19","SRER_003.basePlot.cfc","distributed","jf4sOIyMYqxH5lh5NevTPhIf4NCcV/LCq3qPCer7AAM=","A00000279893",2021-08-23 17:37:00,"jf4sOIyMYqxH5lh5NevTPhIf4NCcV/LC593UJkHbgcGDsKhvLqAFBQ==",NA,"OK","photosynthetic stem",2021-08-24 21:00:00,"0000-0001-5980-6082",99.028,2021-08-25 22:25:00,2021-10-25 19:00:00,6.877,"0000-0001-5980-6082",1,9108,98,755,0.069,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"19","aa238c19-9c28-4222-9099-c3177d5e9d29","SRER_004.basePlot.cfc","distributed","jf4sOIyMYqx6wVGq6P1DjdLjlCab33GcXJ22P381QjQ=","A00000279774",2021-08-23 17:39:00,"jf4sOIyMYqx6wVGq6P1DjdLjlCab33GcYOJkl+Xqm73l2n4fFfJKcw==",NA,"OK","leaf",2021-08-24 21:23:00,"0000-0001-5980-6082",0.976,2021-08-25 22:25:00,2021-08-31 21:10:00,0.312,"0000-0001-5980-6082",21,4386,100,71.1,0.32,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"20","36c3037b-2635-46f6-9557-89c7a1cc9351","SRER_007.basePlot.cfc","distributed","jf4sOIyMYqxF0fkovBPluXfO4/oLy0qDYPFS9Fbcaxk=","A00000279760",2021-08-24 14:38:00,"jf4sOIyMYqxF0fkovBPluXfO4/oLy0qD4pjkVSktcZElYO34z9VxzQ==",NA,"OK","leaf",2021-08-25 19:02:00,"0000-0001-5980-6082",1.683,2021-08-25 22:25:00,2021-08-31 21:10:00,0.686,"0000-0001-5980-6082",34,5634,100,121.8,0.408,"0000-0002-6694-2717",NA,NA,"20240104T230557Z","RELEASE-2024"
"21","615f03fb-b876-4744-aa39-c198fc86d939","SRER_005.basePlot.cfc","distributed","jf4sOIyMYqzkkNrC4eFqCe5yOWLP1q7V3mN5toV09u4=","A00000279762",2021-08-24 15:01:00,"jf4sOIyMYqzkkNrC4eFqCe5yOWLP1q7VT5qlav96a70nHQjweqr7uw==",NA,"OK","leaf",2021-08-25 19:42:00,"0000-0001-5980-6082",1.484,2021-08-25 22:25:00,2021-08-31 21:10:00,0.613,"0000-0001-5980-6082",25,5751,100,106.6,0.413,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"22","f6f115cc-ee79-4997-b1c3-6befe46d9545","SRER_007.basePlot.cfc","distributed","jf4sOIyMYqxber0DlvIjBA/gipF9Yje+rnBoRGbApWw=","A00000279890",2021-08-24 15:12:00,"jf4sOIyMYqxber0DlvIjBA/gipF9Yje+3//P0O5PLuk=",NA,"OK","photosynthetic stem",2021-08-25 20:23:00,"0000-0001-5980-6082",7.336,2021-08-25 22:25:00,2021-08-31 21:36:00,4.276,"0000-0001-5980-6082",8,4066,90,1051.6,0.583,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
"23","525972f0-4bc9-4e4e-a974-f32a56dbb5aa","SRER_005.basePlot.cfc","distributed","jf4sOIyMYqxdFov1Sz95q3Etl0g68APlJC6hFlash/8=","A00000279753",2021-08-24 15:44:00,"jf4sOIyMYqxdFov1Sz95q3Etl0g68APlqtKhnxxa9nQ=",NA,"OK","leaf",2021-08-25 21:33:00,"0000-0001-5980-6082",1.367,2021-08-25 22:25:00,2021-08-31 21:10:00,0.594,"0000-0001-5980-6082",7,3954,99,150.2,0.435,"0000-0002-3695-3837",NA,NA,"20240104T230557Z","RELEASE-2024"
